Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-04,16.4473012043826,16.6167017131891,16.2162989083731,16.5551013946533,11681600,0,0
2018-09-05,16.5319998148668,16.7322012062598,16.4935001686505,16.6706008911133,8412300,0,0
2018-09-06,16.7707068008456,16.9863072271148,16.7168052256106,16.9401073455811,11782600,0,0
2018-09-07,16.8785032856345,17.2712058635951,16.7938022976428,16.8939037322998,6504000,0,0
2018-09-10,17.0094060400341,17.0248064884152,16.7168033954632,16.7938041687012,6630400,0,0
2018-09-11,16.8477018595984,17.5099063585939,16.8092022128199,17.3328056335449,11009900,0,0
2018-09-12,17.3328038813853,17.7409068518526,17.2712035715664,17.6639060974121,8143800,0,0
2018-09-13,17.7101109605349,17.7101109605349,17.3790086510685,17.4406089782715,6716600,0,0
2018-09-14,17.5176089002558,17.5638087762384,17.1249062827352,17.5099086761475,7708000,0,0
2018-09-17,17.548408765526,17.7871098241883,17.4637077739788,17.5407085418701,6583600,0,0
2018-09-18,17.5407117787008,17.8872130951512,17.5253113285472,17.8333129882812,7281600,0,0
2018-09-19,17.8487111935771,17.8872108454513,17.4868080038224,17.5099086761475,8144600,0,0
2018-09-20,17.540709104099,17.5638083071396,17.0941063984156,17.3790073394775,11568300,0,0
2018-09-21,17.4098046358257,17.7563058278069,17.3482043260068,17.6639060974121,26348200,0,0
2018-09-24,17.663910944081,17.810210802126,17.4714097394946,17.6331100463867,6931100,0,0
2018-09-25,16.7630054125268,16.8477049446829,16.0931005677719,16.2086009979248,29014300,0,0
2018-09-26,16.2239980536439,16.2932985909749,15.8235952754358,15.9621963500977,15553700,0,0
2018-09-27,15.9775975322615,16.4087997532306,15.9698973090179,16.0853977203369,9128700,0,0
2018-09-28,16.0853979760412,16.4396009075398,16.0699989979766,16.3241004943848,8026200,0,0
2018-10-01,16.4010996814469,16.6937022927358,16.3626000335409,16.5166015625,10052500,0,0
2018-10-02,16.4858039094674,16.8631061140405,16.4396040291662,16.8092060089111,9085200,0,0
2018-10-03,16.863104124066,16.9709057902709,16.6321032811522,16.8554039001465,9350800,0,0
2018-10-04,16.9016062008104,16.9324056295649,16.6167037743262,16.8400058746338,9452500,0,0
2018-10-05,16.8862060108502,17.1018064214383,16.8092052347825,16.8323059082031,9260800,0,0
2018-10-08,16.7861040280026,16.8246051491469,16.2009016732853,16.3703022003174,9766900,0,0
2018-10-09,16.4165036213854,16.4473045211984,16.1470016226926,16.1932029724121,9436700,0,0
2018-10-10,16.2009007437547,16.6475034427314,16.0930990794034,16.1084995269775,8112800,0,0
2018-10-11,16.1238991702191,16.2162989137194,15.4385939740322,15.5078945159912,11434800,0,0
2018-10-12,15.7696973983071,15.969898815524,15.7080970752147,15.9082984924316,6076300,0,0
2018-10-15,15.9391005224091,16.1547009342388,15.8081996429406,15.9467992782593,8020200,0,0
2018-10-16,16.0084027473495,16.2317034070329,15.8005010696434,16.1701030731201,6068500,0,0
2018-10-17,16.2085998911648,16.3395007613779,16.0623000416724,16.2856006622314,6479400,0,0
2018-10-18,16.2856005573211,16.3703015518155,16.0930993652282,16.2009010314941,6156000,0,0
2018-10-19,16.3010036034314,17.0017079368432,16.3010036034314,16.9324073791504,11822800,0,0
2018-10-22,16.9478049999237,16.9709056715204,16.362601204147,16.3934020996094,9895200,0,0
2018-10-23,16.2855994503092,16.6244019365895,16.2008999302397,16.5551013946533,7619200,0,0
2018-10-24,16.5012027350047,16.7322035824422,16.0314993473917,16.0468997955322,8623900,0,0
2018-10-25,16.1932015024368,16.4781024565057,16.1085005043077,16.2240009307861,9480200,0,0
2018-10-26,16.00069888908,16.00069888908,14.7224911491048,14.9149923324585,17478300,0,0
2018-10-29,15.2152967453003,15.5925989637383,15.0073950733035,15.2152967453003,9886300,0,0
2018-10-30,15.1844920512644,15.8081969114325,15.1844920512644,15.7542953491211,9750100,0,0
2018-10-31,15.8774986270485,16.1316001363753,15.7696969631113,15.892897605896,8973100,0,0
2018-11-01,16.0161012163861,16.2009036834736,15.7466006782747,15.846700668335,5873200,0,0
2018-11-02,15.9391010719991,16.3780036039777,15.9005999480823,16.1470012664795,8883400,0,0
2018-11-05,16.1701030731201,16.2086027310652,15.8775018542013,16.1701030731201,7544000,0,0
2018-11-06,16.1701002399652,16.3472009853513,16.1162001408188,16.2856006622314,7405000,0,0
2018-11-07,16.2855983308078,16.5396998108838,16.1700979250765,16.5319995880127,9418500,0,0
2018-11-08,16.5243001291608,16.5551010220692,16.0853976858881,16.2316989898682,12055100,0,0
2018-11-09,14.2835850686257,14.8841891990577,13.9370838719155,14.5607872009277,28675200,0,0
2018-11-12,14.5607896116472,14.938091760488,14.5299901855518,14.8071908950806,10614300,0,0
2018-11-13,14.899594692869,14.9688952494282,14.4144907969549,14.4683923721313,11873000,0,0
2018-11-14,14.6069897090952,14.8148913459302,14.3605884218837,14.6839904785156,13144200,0,0
2018-11-15,14.668589483455,14.6839899304978,14.3528876624141,14.5992889404297,8878800,0,0
2018-11-16,14.599290278733,14.8456930480035,14.5530904020368,14.7609920501709,10427600,0,0
2018-11-19,14.7378930123767,15.0381959158836,14.5915931418318,14.6531934738159,12056700,0,0
2018-11-20,14.4991893897675,14.5530894873031,14.1295874620944,14.2373876571655,13913700,0,0
2018-11-21,14.2604892598024,14.3605892376682,13.9293869605527,14.1218881607056,15146600,0,0
2018-11-23,14.1694900006938,14.2884943692402,14.0028826741508,14.1853561401367,6138900,0.54,0
2018-11-26,14.2884954935329,14.6613762811777,14.2726278396188,14.6296424865723,17527400,0,0
2018-11-27,14.5979046335369,14.8200472099345,14.5344355421693,14.7327766418457,8228500,0,0
2018-11-28,14.7962492164449,14.9469889113874,14.5661742735333,14.8597183227539,9412000,0,0
2018-11-29,14.7883127712368,14.8914509964961,14.6375746162003,14.7724466323853,6398700,0,0
2018-11-30,14.7565806861312,14.9390541664095,14.6851777567662,14.9152526855469,14201300,0,0
2018-12-03,15.0501253275548,15.1135944325391,14.7883150803418,14.9073209762573,11059200,0,0
2018-12-04,14.9073212851819,15.0739271217597,14.1139566998262,14.1615581512451,19280700,0,0
2018-12-06,14.1139575070043,14.1456913053575,13.3840619862053,13.868013381958,19866500,0,0
2018-12-07,13.7807435634006,14.1774258575164,13.7331405985863,13.8600788116455,12155400,0,0
2018-12-10,13.8838757437821,13.9314771797728,13.1301790266878,13.5268611907959,15764700,0,0
2018-12-11,13.6776038984536,13.9235464715501,13.3999260187781,13.4633951187134,11191900,0,0
2018-12-12,13.6300030568865,13.971150051642,13.6062015758957,13.7410736083984,15054700,0,0
2018-12-13,13.7252057313121,13.8045424867693,13.2888558461312,13.3919925689697,10838800,0,0
2018-12-14,13.3919934604457,13.6458713974537,13.3840611462724,13.4871978759766,11319300,0,0
2018-12-17,13.44752816671,13.5506648804192,12.8604371362274,12.9635753631592,15270100,0,0
2018-12-18,13.0111779751189,13.2650543823255,12.8366383234701,12.9556427001953,12231200,0,0
2018-12-19,12.9873787369548,13.13018308911,12.6303640735098,12.7573022842407,16545400,0,0
2018-12-20,12.7017656003949,12.7731685251812,11.9877371091435,12.2733488082886,17570000,0,0
2018-12-21,12.3130184019556,12.4875580613534,11.7417957037692,11.8211317062378,22330200,0,0
2018-12-24,11.7497299761009,11.7814645296128,11.4006491308587,11.5196542739868,10915800,0,0
2018-12-26,11.5831223119328,12.1384773254395,11.0833025727935,12.1384773254395,16994600,0,0
2018-12-27,11.9798039195279,12.1146759413064,11.5989885766791,12.0988082885742,16166200,0,0
2018-12-28,12.1067407427094,12.3844178245482,12.0591385465195,12.1146745681763,12125000,0,0
